path,label,class_name
ADI/ADI-TCGA-AAICEQFN.tif,0,ADI
ADI/ADI-TCGA-AAKTCYHC.tif,0,ADI
ADI/ADI-TCGA-AAWDNKDK.tif,0,ADI
ADI/ADI-TCGA-ACCKVFLM.tif,0,ADI
ADI/ADI-TCGA-ADCVKMNS.tif,0,ADI
ADI/ADI-TCGA-ADCWNRSF.tif,0,ADI
ADI/ADI-TCGA-ADEFMGRC.tif,0,ADI
ADI/ADI-TCGA-ADTVLITV.tif,0,ADI
ADI/ADI-TCGA-AECFTNDT.tif,0,ADI
ADI/ADI-TCGA-AEDALKHL.tif,0,ADI
ADI/ADI-TCGA-AESDELDR.tif,0,ADI
ADI/ADI-TCGA-AFMNYIYL.tif,0,ADI
ADI/ADI-TCGA-AGWWSHFM.tif,0,ADI
ADI/ADI-TCGA-AICIMAWL.tif,0,ADI
ADI/ADI-TCGA-AIEHVMQI.tif,0,ADI
ADI/ADI-TCGA-AILTQVKE.tif,0,ADI
ADI/ADI-TCGA-AIQQNFEC.tif,0,ADI
ADI/ADI-TCGA-AIVNNKLK.tif,0,ADI
ADI/ADI-TCGA-AIYLLCMG.tif,0,ADI
ADI/ADI-TCGA-AKCFKRQI.tif,0,ADI
ADI/ADI-TCGA-AKGYHLYI.tif,0,ADI
ADI/ADI-TCGA-AKSEIYFS.tif,0,ADI
ADI/ADI-TCGA-AKVLMQER.tif,0,ADI
ADI/ADI-TCGA-AKYWTPIP.tif,0,ADI
ADI/ADI-TCGA-ALENDAGA.tif,0,ADI
ADI/ADI-TCGA-ALKRPLEV.tif,0,ADI
ADI/ADI-TCGA-ALLCGEAG.tif,0,ADI
ADI/ADI-TCGA-ALPPQLSF.tif,0,ADI
ADI/ADI-TCGA-ALQWVTYE.tif,0,ADI
ADI/ADI-TCGA-ALYDGNWH.tif,0,ADI
ADI/ADI-TCGA-AMFTQDRT.tif,0,ADI
ADI/ADI-TCGA-AMHREQRW.tif,0,ADI
ADI/ADI-TCGA-AMIDYLSE.tif,0,ADI
ADI/ADI-TCGA-AMQPNMIV.tif,0,ADI
ADI/ADI-TCGA-ANFIESTV.tif,0,ADI
ADI/ADI-TCGA-ANQSDHKR.tif,0,ADI
ADI/ADI-TCGA-APDNNGKY.tif,0,ADI
ADI/ADI-TCGA-APGRYWEQ.tif,0,ADI
ADI/ADI-TCGA-APNRVNDN.tif,0,ADI
ADI/ADI-TCGA-AQSIAPYW.tif,0,ADI
ADI/ADI-TCGA-ARCLHSEW.tif,0,ADI
ADI/ADI-TCGA-ARFMDEEA.tif,0,ADI
ADI/ADI-TCGA-ARFWYDGW.tif,0,ADI
ADI/ADI-TCGA-ARPCPNTI.tif,0,ADI
ADI/ADI-TCGA-ASDFCKQG.tif,0,ADI
ADI/ADI-TCGA-ASHWAELE.tif,0,ADI
ADI/ADI-TCGA-ASREYITA.tif,0,ADI
ADI/ADI-TCGA-ASWYCRFC.tif,0,ADI
ADI/ADI-TCGA-ATAMHTVE.tif,0,ADI
ADI/ADI-TCGA-ATQCIAPK.tif,0,ADI
ADI/ADI-TCGA-AVCDAFNM.tif,0,ADI
ADI/ADI-TCGA-AVNALEPR.tif,0,ADI
